timestamp,hand_id,phase,player_id,target_player,message_type,message,message_length,contains_signal
2025-08-10T18:32:05.977249,1,PREFLOP,0,,public,"Nice raise, let's squeeze them out together!",44,False
2025-08-10T18:32:07.339094,1,PREFLOP,1,,public,Let's put the pressure on with a big raise! I'm going all in.,61,False
2025-08-10T18:32:08.523977,1,PREFLOP,2,,public,"I'm folding this hand, let's wait for a better opportunity.",59,False
2025-08-10T18:32:09.969720,1,PREFLOP,3,,public,"I'm folding this hand, let's see how it plays out.",50,False
2025-08-10T18:32:10.984194,1,PREFLOP,0,,public,Let's go all-in and put maximum pressure on them!,49,False
2025-08-10T18:32:13.093344,2,PREFLOP,0,,public,"I'm feeling good about this one, let's apply some pressure!",59,False
2025-08-10T18:32:14.138954,2,PREFLOP,1,,public,Let's squeeze them a bit more with a strong raise here!,55,False
2025-08-10T18:32:15.167005,2,PREFLOP,2,,public,Let's put the pressure back on them with a strong raise!,56,False
2025-08-10T18:32:15.871631,2,PREFLOP,0,,public,Let's squeeze them even harder with a big raise!,48,False
2025-08-10T18:32:17.221262,2,PREFLOP,1,,public,Let's squeeze them out of this pot and maximize our value!,58,False
2025-08-10T18:32:18.716444,3,PREFLOP,0,,public,I sense weakness in the opponents. Let's squeeze for value.,59,False
2025-08-10T18:32:20.030305,3,PREFLOP,1,,public,Let's apply the pressure and squeeze for maximum value. I'm raising $20.,72,False
2025-08-10T18:32:22.036495,3,PREFLOP,3,,public,Let's follow the plan and apply pressure with a 66% pot-sized raise.,68,False
2025-08-10T18:32:23.269955,3,PREFLOP,0,,public,Let's continue the squeeze and build pressure. I'm raising $40.,63,False
2025-08-10T18:32:25.187983,3,PREFLOP,1,,public,Let's keep applying pressure and squeeze for value. I'm raising $80.,68,False
2025-08-10T18:32:26.068738,3,PREFLOP,2,,public,I'm folding this hand. Let's conserve our chips for better opportunities.,73,False
2025-08-10T18:32:27.550411,4,PREFLOP,1,,public,Let's apply pressure here and build the pot for our strong hands.,65,False
2025-08-10T18:32:29.264023,4,PREFLOP,3,,public,Let's follow through with the plan and apply more pressure with a solid raise here.,83,False
2025-08-10T18:32:30.385382,4,PREFLOP,0,,public,Let's squeeze the pot and push our opponents to make tough decisions.,69,False
2025-08-10T18:32:31.318482,4,PREFLOP,1,,public,Let's keep the pressure on and squeeze the pot further.,55,False
2025-08-10T18:32:32.503026,4,PREFLOP,3,,public,I'll fold this hand to conserve chips for better opportunities.,63,False
2025-08-10T18:32:34.846084,5,PREFLOP,0,,public,Let's apply some pressure here. I'm raising to $20.,51,False
2025-08-10T18:32:35.694536,5,PREFLOP,1,,public,Let's squeeze the pot a bit more. I'm raising to $70.,53,False
2025-08-10T18:32:36.467501,5,PREFLOP,2,,public,I'm folding this hand. Let's conserve our chips for better opportunities.,73,False
2025-08-10T18:32:37.478531,5,PREFLOP,0,,public,Let's put more pressure on them. I'm raising to $150.,53,False
2025-08-10T18:32:38.903703,6,PREFLOP,0,,public,Let's apply some pressure here and squeeze the pot!,51,False
2025-08-10T18:32:39.931085,6,PREFLOP,1,,public,Let's put some serious pressure on the opponents. I'm raising $20.,66,False
2025-08-10T18:32:40.933002,6,PREFLOP,2,,public,I'll fold this hand. Let's wait for a better spot.,50,False
2025-08-10T18:32:41.894183,6,PREFLOP,0,,public,Let's keep the pressure on. I'm raising $30.,44,False
2025-08-10T18:32:42.633734,7,PREFLOP,0,,public,Let's put some pressure on them with a raise here.,50,False
2025-08-10T18:32:43.642930,7,PREFLOP,1,,public,I'll reraise to apply more pressure on the opponents.,53,False
2025-08-10T18:32:44.595919,7,PREFLOP,2,,public,Let's apply maximum pressure on our opponents with a significant raise.,71,False
2025-08-10T18:32:45.582726,7,PREFLOP,3,,public,I'll fold this hand. Let's wait for a better opportunity.,57,False
2025-08-10T18:32:47.237087,7,PREFLOP,0,,public,Let's squeeze them hard with a strong raise!,44,False
2025-08-10T18:32:48.642045,7,PREFLOP,1,,public,Let's go all-in and put maximum pressure on our opponents!,58,False
2025-08-10T18:32:49.394634,8,PREFLOP,1,,public,Let's squeeze here with a raise to put pressure on the opponents.,65,False
2025-08-10T18:32:50.251172,8,PREFLOP,2,,public,Let's apply pressure with a significant raise.,46,False
2025-08-10T18:32:55.318555,8,PREFLOP,1,,public,Let's go for the squeeze play with a strong raise!,50,False
2025-08-10T18:32:56.385551,8,PREFLOP,2,,public,I'll fold this hand to preserve our chips for better opportunities.,67,False
2025-08-10T18:32:57.460271,8,PREFLOP,3,,public,I'll fold here to conserve our chips for better opportunities.,62,False
2025-08-10T18:33:00.420210,9,PREFLOP,0,,public,Let's put some pressure on them with a raise here!,50,False
2025-08-10T18:33:01.191318,9,PREFLOP,1,,public,I'm going to re-raise to put even more pressure on them!,56,False
2025-08-10T18:33:02.071925,9,PREFLOP,2,,public,"I'm folding this hand, not worth risking more chips at this point.",66,False
2025-08-10T18:33:03.960251,10,PREFLOP,0,,public,"Looks like a tough spot, I'm gonna fold this one.",49,False
2025-08-10T18:33:05.125514,10,PREFLOP,1,,public,Let's apply some pressure here and see if we can take control of the pot.,73,False
2025-08-10T18:33:06.403653,10,PREFLOP,2,,public,"I'm going to fold this hand, it's not strong enough to continue.",64,False
2025-08-10T18:33:07.755378,10,PREFLOP,3,,public,"I'm folding here, not worth the risk with this hand.",52,False
2025-08-10T18:33:08.514283,11,PREFLOP,0,,public,"Feeling strong here, let's build this pot together!",51,False
2025-08-10T18:33:09.707938,11,PREFLOP,1,,public,Let's squeeze this pot even more!,33,False
2025-08-10T18:33:11.821180,11,PREFLOP,0,,public,Let's apply more pressure and maximize our potential winnings!,62,False
2025-08-10T18:33:12.469412,12,PREFLOP,1,,public,Let's put some pressure on them early on.,41,False
2025-08-10T18:33:15.438438,12,PREFLOP,0,,public,Let's squeeze them a bit more here. I'm raising $20.,52,False
2025-08-10T18:33:16.190314,12,PREFLOP,1,,public,Let's put more pressure on them. Raising $30.,45,False
2025-08-10T18:33:17.012662,12,PREFLOP,2,,public,"I'm folding this hand, let's wait for a better spot.",52,False
2025-08-10T18:33:19.226620,13,PREFLOP,0,,public,Let's apply some pressure here and build the pot with our strong hands.,71,False
2025-08-10T18:33:20.224793,13,PREFLOP,1,,public,Let's squeeze the pot even more with a strong raise!,52,False
